data_file,variable,label,type
F1 CS_EICV7_poverty_file,hhid,Household Identification,contin
F1 CS_EICV7_poverty_file,clust,Clust,contin
F1 CS_EICV7_poverty_file,province,Province,discrete
F1 CS_EICV7_poverty_file,district,District,discrete
F1 CS_EICV7_poverty_file,ur,Area of Residence,discrete
F1 CS_EICV7_poverty_file,ae,hhsize A/E (adult equivalent),contin
F1 CS_EICV7_poverty_file,member,hhsize,discrete
F1 CS_EICV7_poverty_file,Food_at_school,Education Expenses/Food at School,contin
F1 CS_EICV7_poverty_file,exp1,Total Education Expenditures,contin
F1 CS_EICV7_poverty_file,exp2,Imputed Rents,contin
F1 CS_EICV7_poverty_file,exp3,Actual Rents,contin
F1 CS_EICV7_poverty_file,exp4,Water expenses,contin
F1 CS_EICV7_poverty_file,exp5,Electricity expenses,contin
F1 CS_EICV7_poverty_file,exp6,Annual Non food Expenditures,contin
F1 CS_EICV7_poverty_file,exp7,Monthly Non food Expenditures,contin
F1 CS_EICV7_poverty_file,exp8,Frequent Non Food Expenditures,contin
F1 CS_EICV7_poverty_file,exp9,Food Consumption/Home,contin
F1 CS_EICV7_poverty_file,exp10,Food outside Home Expenditures,contin
F1 CS_EICV7_poverty_file,exp11,Use values of durable goods,contin
F1 CS_EICV7_poverty_file,hh_index,Household Index,contin
F1 CS_EICV7_poverty_file,weight,Household Weight,contin
F1 CS_EICV7_poverty_file,pop_wt,Population Weight,contin
F1 CS_EICV7_poverty_file,sol_jan,Aggregate Consumption/ae in Jan 2024 Prices,contin
F1 CS_EICV7_poverty_file,quintile,Quintiles of real consumption per ae,discrete
F1 CS_EICV7_poverty_file,food,Total food expenditures,contin
F1 CS_EICV7_poverty_file,cons1,Aggregate Consumption,contin
F1 CS_EICV7_poverty_file,cons1ae,Aggregate Consumption/ae,contin
F1 CS_EICV7_poverty_file,pov_jan,Total Poverty Headcount Ratio,discrete
F1 CS_EICV7_poverty_file,poverty,Welfare Categories,discrete
F1 CS_EICV7_poverty_file,epov_jan,Extreme Poverty Headcount Ratio,discrete
F1 CS_EICV7_poverty_file,Poverty_line,Value of Povertyline in Jan/2024 Prices,discrete
F1 CS_EICV7_poverty_file,Extreme_line,Value of Food Povertyline in Jan/2024 Prices,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,hhid,Household Identification,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,clust,Clust,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,province,Province,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,district,District,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,ur,Residence area,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,pid,Person ID Number (EICV7),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q1,Sex,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q2,Relation with the head of household,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q3y,Age (Years),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q3m,Age (Months),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q4,Marital status,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q5a,Country of birth,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q5b,District of birth,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q6,Nationality,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q7a,Absent during past 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q7,Months away from household during past 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q8,Primary reason of absence in last 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q9,Resident of another household in last 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q10,Will be resident during enumeration period,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q11,Primary reason for absence during enumeration,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q12,Father still alive,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q13,Mother still alive,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s1q14,Household membership,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q2,Always lived in the district,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q3y,Duration since last move (years),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q3m,Duration since last move (months),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q4a,Country lived prior to current place,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q4b,District lived prior to current place,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q5,Kind of place lived prior to current place,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q6,Duration lived in previous location (years),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q7,Primary reason for moving,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s2q8,Move alone or with other household members,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q2,Currently covered by any health insurance,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q3,Main health insurance carried,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q4,Illness or injury over last 4 weeks,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q5,Medical consultation over last 4 weeks,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q5a,Why not consult any medical professional,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q6,Main reason for medical consultation,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q7,Difficulty in seeing,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q8,Difficulty hearing,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q9,Difficulty in moving,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q10,Difficulty in remembering or concentrating,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q11,Difficulty communicating,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s3q12,Difficulty in self-care,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq1,Ever been to school or organized learning,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq1a,Main reason never attended school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq2,Highest class successfully attended,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq2a,Years of school completed at that level,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq3,Highest diploma/certificate/degree obtained,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq6a,Class attended in 2022/2023,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq6b,Class attended in 2023/2024,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq6c,Class attended in 2024/2025,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq6d,Cause of repeating 2023 class in 2024,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq7,Attended school in last 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq8,Highest level of education attended in last 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq8a,Highest class attended in last 12 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq8b,Boarding School,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq9,Age when studying in reported class,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq10,Reason for delaying start of school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq11,Type of school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14a,Registration and school fees,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14b,Parent contributions,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14c,School uniforms,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14d,Books and school supplies,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14e,Transport to and from school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14f,Room and board,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14g,Other schooling expenditures,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq14h,Total education expenses (non-distributed),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq15,Responsible for majority of school expenditures,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq15a,School feeding,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq16,Absence at school in last 7 days,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq17,School days not attended last week,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq18,Primary cause of not attending school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq19,Year of leaving school,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4aq20,Reason for leaving school,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq1,Attended any vocational training,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq2,"Expense of training (fees, expenses, accommodation)",discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq3,Attended a literacy course,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq4,Able to read a simple note,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq5,Can read a proposed sentence,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq6,Able to write a simple note,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq7,Able to do a written calculation,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq8,Have a mobile telephone,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq9,Phone functionalities / ownership,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq10,Type of phone owned,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq11,Reasons for not having a smartphone,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq12,Why does not have a mobile telephone,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq13a,Own a computer,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq13b,Computer literacy,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq13c,How often used a computer in last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14a,Skill: copying or moving a file or folder,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14b,Skill: using copy and paste tools,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14c,Skill: sending e-mails with attached files,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14d,Skill: basic arithmetic formula in a spreadsheet,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14e,Skill: connecting and installing new devices,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14f,Skill: finding/downloading/installing software,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14g,Skill: creating electronic presentations,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14h,Skill: transferring files between devices,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq14i,Skill: writing a computer program,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq15,Used internet in last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq16,Reason for not using internet last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq17,How often used internet last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq18,Internet use: finding info about goods,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq19,Internet use: reading/downloading news,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq20,Internet use: obtaining info from websites,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq21,Internet use: seeking health information,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq22,Internet use on social media last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23a,E-service: USSD code,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23b,E-service: application based system,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23c,E-service: mobile financial services,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23d,E-service: social media,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23e,E-service: web browser,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23f,E-service: IREMBO services,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23g,E-service: e-commerce platforms,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq23h,E-service: e-learning platforms,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq25,Where used internet in last 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s4bq26,Type of device used for social media,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq2,"Worked on own farm, no payment",discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq3,Products obtained from this agricultural activity,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq4,Carry out any agricultural activity,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq5,Worked for salary or wages in non-farm sector,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq6,Run a non-farm business for cash or profit,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq7,Worked in a non-farm business,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq8,Worked as unpaid trainee or volunteer,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq9,Economic activity temporarily absent from,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq10,Main reason not working over last 7 days,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq11,Receiving income during absence,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6aq12,Absence for a period less than 3 months,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq1,Hours usually worked in all activities per week,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq2,Hours actually worked in all activities last 7 days,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq3,ISCO level 1 (occupation),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq4,ISIC level 1 (industry),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq5,Institutional sector of main economic activity,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq6,Perform main activity overnight 6pm-6am,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq7,Status in economic activity,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq8,Nature of economic activity contract,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq9a,Usual earnings in main job (Amount),contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6bq9b,Usual earnings in main job (Unit),discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq1,Last 7 days: fetch water for household,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq2,Hours spent fetching water last 7 days,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq3,Last 7 days: forage firewood for household,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq4,Hours spent foraging for wood last 7 days,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq5,Last 7 days: search fodder/grazing for animals,discrete
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq6,Hours spent on fodder last 7 days,contin
F2 CS_S0_S1_S2_S3_S4_S6A_S6B_S6C_Person,s6cq7,Last 7 days: go to market for shopping,discrete
